Call Failure,Complaints,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
4,0,39,0,1745,46,48,24,3,1,2,30,263.64,0
7,0,40,1,2860,55,185,27,2,1,1,25,963.675,0
5,0,31,2,1395,38,203,15,2,2,1,25,977.985,0
12,0,31,0,780,27,20,11,3,1,2,30,112.28,0
11,0,29,1,1305,34,29,17,2,1,1,25,190.755,0
3,0,29,1,3305,63,18,27,3,1,1,30,206.72,0
3,0,22,1,1775,28,38,18,2,1,1,25,252.135,0
17,0,21,2,6473,143,95,46,2,2,1,25,725.22,0
7,0,34,0,4290,69,0,13,2,1,1,25,196.155,0
0,0,35,0,0,0,0,0,2,1,2,25,0.0,0
10,0,34,0,3695,80,22,24,3,1,1,30,239.0,0
12,0,33,1,9035,119,134,39,3,1,1,30,902.16,0
6,0,34,0,13693,167,0,40,3,1,1,30,554.4,0
6,0,34,0,4435,81,0,21,3,1,1,30,180.64,0
5,0,34,0,5838,93,0,8,2,1,1,25,266.895,0
8,0,34,0,2158,52,0,13,3,1,2,30,88.4,0
2,0,33,0,6420,84,176,22,3,1,1,30,964.16,0
0,0,33,0,795,12,0,7,2,1,2,25,36.315,0
1,0,34,0,630,12,3,4,2,1,2,25,42.39,0
0,0,33,0,0,0,0,0,2,1,2,25,0.0,1
6,0,33,0,11385,152,1,43,3,1,1,30,465.48,0
7,0,33,0,6638,73,98,33,2,1,1,25,742.995,0
22,0,29,0,875,45,6,13,2,1,2,25,68.4,1
12,1,32,0,5738,96,16,20,2,1,1,25,334.53,1
0,0,30,0,2760,20,0,10,3,1,1,30,111.2,0
8,1,31,0,2910,39,0,12,3,1,2,30,117.96,1
8,0,32,0,2188,42,24,27,3,1,2,30,185.2,1
0,1,32,0,0,0,0,0,3,1,2,30,0.0,1
0,0,32,0,1588,23,0,2,3,1,1,30,64.44,0
1,0,32,0,3638,80,0,24,2,1,1,25,167.31,0
2,0,31,0,1585,42,28,16,3,1,2,30,177.08,0
5,0,32,0,2700,51,165,19,2,1,1,25,866.295,0
3,0,23,0,1235,34,183,7,2,2,1,25,880.605,0
10,0,23,0,620,23,0,3,2,1,2,25,28.935,0
9,0,21,0,1145,30,9,9,2,1,1,25,93.375,0
1,0,21,0,3145,59,0,19,3,1,1,30,128.16,0
13,0,44,1,4630,81,20,23,3,1,1,30,268.44,0
5,0,45,0,578,15,22,10,3,1,2,30,111.72,0
8,0,44,1,2653,68,17,39,2,1,1,25,198.945,0
16,0,44,2,4035,92,47,34,3,1,1,30,353.08,0
12,0,44,1,14033,179,15,50,3,1,1,30,628.48,0
12,0,44,2,4775,93,17,31,3,1,1,30,262.72,0
11,0,44,1,6178,105,22,18,3,1,1,30,339.32,0
14,1,44,0,2498,64,23,23,3,1,2,30,194.48,0
8,0,43,2,6760,96,201,32,3,1,1,30,1078.24,0
5,0,43,0,1135,24,15,17,2,1,2,25,119.655,0
7,0,44,0,970,24,28,14,3,1,2,30,151.76,0
5,0,43,0,260,10,15,6,2,1,2,25,79.65,1
13,0,43,2,6978,85,123,43,2,1,1,25,871.335,0
28,1,39,0,1215,57,31,23,3,1,2,30,174.88,1
18,0,42,2,6078,108,41,30,2,1,1,25,462.87,0
6,0,40,1,3100,32,15,20,3,1,1,30,185.28,0
14,1,41,0,3250,51,24,22,3,1,2,30,228.04,1
5,0,42,0,393,12,15,8,3,1,2,30,76.2,1
7,0,42,1,3978,92,17,34,3,1,1,30,230.8,0
8,0,41,0,1925,54,53,26,3,1,2,30,291.16,0
11,0,42,1,3040,63,190,29,2,1,1,25,994.635,0
9,0,33,2,1575,46,208,17,3,2,1,30,896.84,0
16,0,33,0,960,35,25,13,3,1,2,30,139.8,0
15,0,31,1,1485,42,34,19,2,1,1,25,221.715,0
7,0,31,1,3485,71,23,29,3,1,1,30,234.24,0
7,0,24,1,1955,36,43,20,3,1,1,30,251.64,0
21,0,23,2,6653,151,100,48,2,2,1,25,756.18,0
3,0,32,0,4110,61,0,11,2,1,1,25,187.695,0
0,0,33,0,0,0,0,0,2,1,2,25,0.0,0
6,0,32,0,3515,72,17,22,2,1,1,25,237.915,0
8,0,31,1,8855,111,129,37,3,1,1,30,874.64,0
2,0,32,0,13513,159,0,38,3,1,1,30,546.88,0
2,0,32,0,4255,73,0,19,3,1,1,30,173.12,0
1,0,32,0,5658,85,0,6,2,1,1,25,258.435,0
4,0,32,0,1978,44,0,11,3,1,2,30,80.88,0
0,0,31,0,6240,76,171,20,3,1,1,30,936.64,0
0,0,31,0,615,4,0,5,2,1,2,25,27.855,0
0,0,32,0,450,4,0,2,2,1,2,25,20.43,0
0,0,31,0,0,0,0,0,2,1,2,25,0.0,1
2,0,31,0,11205,144,0,41,3,1,1,30,453.96,0
3,0,31,0,6458,65,93,31,2,1,1,25,712.035,0
18,1,27,0,695,37,1,11,2,1,2,25,37.44,1
8,1,30,0,5558,88,11,18,2,1,1,25,303.57,1
0,0,28,0,2580,12,0,8,3,1,1,30,103.68,0
4,0,29,0,2730,31,0,10,2,1,2,25,124.245,1
4,1,30,0,2008,34,19,25,3,1,2,30,157.68,1
0,0,30,0,0,0,0,0,3,1,2,30,0.0,1
0,0,30,0,0,0,0,0,3,1,1,30,0.0,0
0,0,30,0,3458,72,0,22,2,1,1,25,158.85,0
0,0,29,0,1405,34,23,14,3,1,2,30,149.56,0
1,0,30,0,2520,43,160,17,2,1,1,25,835.335,0
0,0,21,0,1055,26,178,5,2,2,1,25,849.645,0
6,0,21,0,440,15,0,1,2,1,2,25,20.475,0
5,0,19,0,965,22,4,7,2,1,1,25,62.415,0
0,0,19,0,2965,51,0,17,3,1,1,30,120.64,0
10,0,41,0,4550,79,16,22,3,1,1,30,249.16,0
2,0,42,0,498,13,18,9,2,1,2,25,103.995,0
13,0,41,1,3955,90,43,33,3,1,1,30,333.8,0
15,0,40,2,9295,129,155,48,3,1,1,30,996.96,0
9,0,41,0,13953,177,11,49,3,1,1,30,609.2,0
9,0,41,1,4695,91,13,30,3,1,1,30,243.44,0
8,0,41,0,6098,103,18,17,3,1,1,30,320.04,0
11,0,41,0,2418,62,19,22,3,1,2,30,175.2,0
5,0,40,1,6680,94,197,31,3,1,1,30,1058.96,0
2,0,40,0,1055,22,11,16,2,1,2,25,97.965,0
4,0,41,0,890,22,24,13,3,1,2,30,132.48,0
2,0,40,0,180,8,11,5,2,1,2,25,57.96,1
10,0,40,1,6898,83,119,42,2,1,1,25,849.645,0
25,1,36,0,1135,55,27,22,2,1,2,25,175.05,1
15,0,39,1,5998,106,37,29,2,1,1,25,441.18,0
3,0,37,0,3020,30,11,19,3,1,1,30,166.0,0
11,1,38,0,3170,49,20,21,3,1,2,30,208.76,1
11,1,39,0,2448,52,45,36,3,1,2,30,280.0,1
2,1,39,0,313,10,11,7,3,1,2,30,56.92,1
3,0,39,0,1848,33,11,11,3,1,1,30,119.24,0
4,0,39,0,3898,90,13,33,2,1,1,25,237.96,0
5,0,38,0,1845,52,49,25,3,1,2,30,271.88,0
8,0,39,0,2960,61,186,28,2,1,1,25,972.945,0
6,1,30,1,1495,44,204,16,2,2,1,25,987.255,1
13,0,30,0,880,33,21,12,2,1,2,25,135.585,0
12,0,28,0,1405,40,30,18,2,1,1,25,200.025,0
4,0,28,0,3405,69,19,28,3,1,1,30,214.96,0
4,0,21,0,1875,34,39,19,2,1,1,25,261.405,0
18,0,20,1,6573,149,96,47,2,2,1,25,734.49,0
6,0,35,0,4190,63,0,12,3,1,1,30,170.12,0
0,0,36,0,0,0,0,0,2,1,2,25,0.0,0
9,0,35,1,3595,74,21,23,3,1,1,30,230.76,0
11,0,34,2,8935,113,133,38,3,1,1,30,893.92,0
5,0,35,0,13593,161,0,39,3,1,1,30,550.16,0
5,0,35,1,4335,75,0,20,3,1,1,30,176.4,0
4,0,35,0,5738,87,0,7,3,1,1,30,233.0,0
7,0,35,0,2058,46,0,12,3,1,2,30,84.16,0
1,0,34,1,6320,78,175,21,3,1,1,30,955.92,0
0,0,34,0,695,6,0,6,2,1,2,25,31.545,0
0,0,35,0,530,6,2,3,3,1,2,30,29.44,0
0,1,34,0,0,0,0,0,2,1,2,25,0.0,1
6,0,34,1,6538,67,97,32,2,1,1,25,733.725,0
21,1,30,0,775,39,5,12,2,1,2,25,59.13,1
11,1,33,1,5638,90,15,19,2,1,1,25,325.26,1
0,0,31,0,2660,14,0,9,3,1,1,30,106.96,0
7,0,32,0,2810,33,0,11,3,1,2,30,113.72,1
7,1,33,0,2088,36,23,26,3,1,2,30,176.96,1
0,0,33,0,0,0,0,0,3,1,2,30,0.0,1
0,0,33,0,1488,17,0,1,3,1,1,30,60.2,0
0,0,33,0,3538,74,0,23,2,1,1,25,162.54,0
1,0,32,0,1485,36,27,15,3,1,2,30,168.84,0
4,0,33,0,2600,45,164,18,2,1,1,25,857.025,0
2,0,24,1,1135,28,182,6,2,2,1,25,871.335,0
9,0,24,0,520,17,0,2,2,1,2,25,24.165,0
8,0,22,0,1045,24,8,8,2,1,1,25,84.105,0
0,0,22,0,3045,53,0,18,3,1,1,30,123.92,0
12,0,38,2,4970,81,26,32,3,1,1,30,306.04,0
4,0,39,0,918,15,28,19,3,1,2,30,149.32,0
7,0,38,2,2993,68,23,48,2,1,1,25,241.245,0
10,0,38,2,6518,105,28,27,3,1,1,30,376.92,0
13,0,38,0,2838,64,29,32,3,1,2,30,232.08,0
4,0,37,0,1475,24,21,26,2,1,2,25,161.955,0
6,0,38,0,1310,24,34,23,3,1,2,30,189.36,0
4,0,37,0,600,10,21,15,2,1,2,25,121.95,1
27,1,33,0,1555,57,37,32,3,1,2,30,212.48,1
5,0,34,2,3440,32,21,29,3,1,1,30,222.88,0
13,1,35,0,3590,51,30,31,3,1,2,30,265.64,1
13,1,36,0,2868,54,55,46,3,1,2,30,336.88,1
4,0,36,0,733,12,21,17,3,1,2,30,113.8,1
6,0,36,2,4318,92,23,43,3,1,1,30,268.4,0
7,1,35,0,2265,54,59,35,3,1,2,30,328.76,1
10,0,36,2,3380,63,196,38,2,1,1,25,1036.935,0
15,0,27,0,1300,35,31,22,3,1,2,30,177.4,0
14,0,25,2,1825,42,40,28,2,1,1,25,264.015,0
6,0,25,2,3825,71,29,38,3,1,1,30,271.84,0
4,0,38,0,3770,61,0,2,2,1,1,25,172.395,0
0,0,39,0,0,0,0,0,2,1,2,25,0.0,0
7,0,38,0,3175,72,11,13,3,1,1,30,173.88,0
9,0,37,0,8515,111,123,28,3,1,1,30,837.04,0
3,0,38,0,13173,159,0,29,3,1,1,30,533.28,0
3,0,38,0,3915,73,0,10,3,1,1,30,159.52,0
2,0,38,0,5318,85,0,15,2,1,1,25,243.135,0
5,0,38,0,1638,44,0,2,3,1,2,30,67.28,0
0,0,37,0,5900,76,165,11,3,1,1,30,899.04,0
0,0,37,0,275,4,0,1,2,1,2,25,12.555,0
0,0,38,0,110,4,0,1,2,1,2,25,5.13,0
0,0,37,0,0,0,0,0,2,1,2,25,0.0,1
3,0,37,0,10865,144,0,32,3,1,1,30,440.36,0
4,0,37,0,6118,65,87,22,2,1,1,25,669.735,0
19,0,33,0,355,37,0,2,2,1,2,25,17.64,1
9,1,36,0,5218,88,5,9,2,1,1,25,261.27,1
0,0,34,0,2240,12,0,4,3,1,1,30,90.08,0
5,0,35,0,2390,31,0,1,3,1,2,30,96.84,1
5,0,36,0,1668,34,13,16,3,1,2,30,120.08,1
0,0,36,0,0,0,0,0,3,1,2,30,0.0,1
0,0,36,0,1068,15,0,3,3,1,1,30,43.32,0
0,0,36,0,3118,72,0,13,2,1,1,25,143.55,0
0,0,35,0,1065,34,17,5,3,1,2,30,111.96,0
2,0,36,0,2180,43,154,8,2,1,1,25,793.035,0
0,0,27,0,715,26,172,1,2,2,1,25,807.345,0
7,0,27,0,100,15,0,3,2,1,2,25,5.175,0
6,0,25,0,625,22,0,2,2,1,1,25,29.115,0
0,0,25,0,2625,51,0,8,3,1,1,30,107.04,0
8,0,39,1,4485,77,37,21,3,1,1,30,330.48,0
0,0,40,0,433,11,39,8,3,1,2,30,173.76,0
3,0,39,1,2508,64,34,37,2,1,1,25,268.74,0
11,0,39,2,3890,88,64,32,3,1,1,30,415.12,0
7,0,39,1,13888,175,32,48,3,1,1,30,690.52,0
7,0,39,2,4630,89,34,29,3,1,1,30,324.76,0
6,0,39,1,6033,101,39,16,3,1,1,30,401.36,0
9,1,39,0,2353,60,40,21,3,1,2,30,256.52,0
0,0,38,0,990,20,32,15,2,1,2,25,189.45,0
2,0,39,0,825,20,45,12,3,1,2,30,213.8,0
0,0,38,0,115,6,32,4,2,1,2,25,149.445,1
8,0,38,2,6833,81,140,41,2,1,1,25,941.13,0
23,1,34,0,1070,53,48,21,3,1,2,30,236.92,1
13,0,37,2,5933,104,58,28,3,1,1,30,473.48,0
1,0,35,1,2955,28,32,18,3,1,1,30,247.32,0
9,1,36,0,3105,47,41,20,3,1,2,30,290.08,1
0,0,37,0,248,8,32,6,3,1,2,30,138.24,1
2,0,37,1,3833,88,34,32,3,1,1,30,292.84,0
6,0,37,1,2895,59,207,27,2,1,1,25,1064.43,0
11,0,28,0,815,31,42,11,3,1,2,30,201.84,0
10,0,26,1,1340,38,51,17,2,1,1,25,291.51,0
2,0,26,1,3340,67,40,27,3,1,1,30,296.28,0
2,0,19,1,1810,32,60,18,3,1,1,30,313.68,0
8,0,37,0,4255,65,0,13,2,1,1,25,194.4,0
0,0,38,0,0,0,0,0,2,1,2,25,0.0,0
11,0,37,0,3660,76,0,24,2,1,1,25,168.12,0
13,0,36,1,9000,115,112,39,3,1,1,30,812.6,0
7,0,37,0,13658,163,0,40,3,1,1,30,552.84,0
7,0,37,0,4400,77,0,21,3,1,1,30,179.08,0
6,0,37,0,5803,89,0,8,2,1,1,25,265.14,0
9,0,37,0,2123,48,0,13,3,1,2,30,86.84,0
3,0,36,0,6385,80,154,22,3,1,1,30,874.6,0
0,0,36,0,760,8,0,7,2,1,2,25,34.56,0
2,0,37,0,595,8,0,4,2,1,2,25,27.135,0
0,1,36,0,0,0,0,0,2,1,2,25,0.0,1
7,0,36,0,11350,148,0,43,3,1,1,30,459.92,0
8,0,36,0,6603,69,76,33,2,1,1,25,642.24,0
23,0,32,0,840,41,0,13,2,1,2,25,39.645,1
13,1,35,0,5703,92,0,20,2,1,1,25,260.775,1
1,0,33,0,2725,16,0,10,3,1,1,30,109.64,0
9,1,34,0,2875,35,0,12,2,1,2,25,130.95,1
9,0,35,0,2153,38,2,27,3,1,2,30,95.64,1
0,0,35,0,0,0,0,0,2,1,2,25,0.0,1
1,0,35,0,1553,19,0,2,3,1,1,30,62.88,0
2,0,35,0,3603,76,0,24,2,1,1,25,165.555,0
3,0,34,0,1550,38,6,16,3,1,2,30,87.52,0
6,0,35,0,2665,47,143,19,2,1,1,25,765.54,0
4,0,26,0,1200,30,161,7,2,2,1,25,779.85,0
11,0,26,0,585,19,0,3,2,1,2,25,27.18,0
10,0,24,0,1110,26,0,9,2,1,1,25,51.12,0
2,0,24,0,3110,55,0,19,3,1,1,30,126.6,0
10,0,38,0,4560,72,14,20,3,1,1,30,241.28,0
2,0,39,0,508,6,16,7,2,1,2,25,95.13,0
13,0,38,1,3965,83,41,31,3,1,1,30,325.92,0
15,0,37,2,9305,122,153,46,3,1,1,30,989.08,0
9,0,38,0,13963,170,9,47,3,1,1,30,601.32,0
9,0,38,1,4705,84,11,28,3,1,1,30,235.56,0
8,0,38,0,6108,96,16,15,3,1,1,30,312.16,0
11,1,38,0,2428,55,17,20,3,1,2,30,167.32,0
5,0,37,1,6690,87,195,29,3,1,1,30,1051.08,0
2,0,37,0,1065,15,9,14,2,1,2,25,89.1,0
4,0,38,0,900,15,22,11,3,1,2,30,124.6,0
2,0,37,0,190,1,9,3,2,1,2,25,49.095,1
10,0,37,1,6908,76,117,40,2,1,1,25,840.78,0
25,1,33,0,1145,48,25,20,2,1,2,25,166.185,1
15,0,36,1,6008,99,35,27,2,1,1,25,432.315,1
3,0,34,0,3030,23,9,17,3,1,1,30,158.12,0
11,1,35,0,3180,42,18,19,3,1,2,30,200.88,1
11,1,36,0,2458,45,43,34,3,1,2,30,272.12,1
2,0,36,0,323,3,9,5,3,1,2,30,49.04,1
3,0,36,0,1858,26,9,9,3,1,1,30,111.36,0
4,0,36,0,3908,83,11,31,2,1,1,25,229.095,0
5,0,35,0,1855,45,47,23,3,1,2,30,264.0,0
8,0,36,0,2970,54,184,26,2,1,1,25,964.08,0
6,1,27,1,1505,37,202,14,2,2,1,25,978.39,1
13,0,27,0,890,26,19,10,2,1,2,25,126.72,0
12,0,25,0,1415,33,28,16,2,1,1,25,191.16,0
4,0,25,0,3415,62,17,26,3,1,1,30,207.08,0
6,0,38,0,4180,70,0,14,3,1,1,30,170.0,0
0,0,39,0,128,4,0,1,2,1,2,25,5.94,0
9,0,38,1,3585,81,23,25,3,1,1,30,238.64,0
11,0,37,2,8925,120,135,40,3,1,1,30,901.8,0
5,0,38,0,13583,168,0,41,3,1,1,30,550.04,0
5,0,38,1,4325,82,0,22,3,1,1,30,176.28,0
4,0,38,0,5728,94,0,9,3,1,1,30,232.88,0
7,0,38,0,2048,53,0,14,3,1,2,30,84.04,0
1,0,37,1,6310,85,177,23,3,1,1,30,963.8,0
0,0,37,0,685,13,0,8,2,1,2,25,31.41,0
0,0,38,0,520,13,4,5,3,1,2,30,37.32,0
0,0,37,0,0,0,0,0,2,1,2,25,0.0,1
6,0,37,1,6528,74,99,34,2,1,1,25,742.59,0
21,0,33,0,765,46,7,14,2,1,2,25,67.995,1
11,0,36,1,5628,97,17,21,2,1,1,25,334.125,1
0,0,34,0,2650,21,0,11,3,1,1,30,106.84,0
7,1,35,0,2800,40,0,13,3,1,2,30,113.6,1
7,0,36,0,2078,43,25,28,3,1,2,30,184.84,1
0,0,36,0,0,0,0,0,3,1,2,30,0.0,1
0,0,36,0,1478,24,0,3,3,1,1,30,60.08,0
0,0,36,0,3528,81,0,25,2,1,1,25,162.405,0
1,0,35,0,1475,43,29,17,3,1,2,30,176.72,0
4,0,36,0,2590,52,166,20,2,1,1,25,865.89,0
2,0,27,1,1125,35,184,8,2,2,1,25,880.2,0
9,0,27,0,510,24,1,4,2,1,2,25,28.53,0
8,0,25,0,1035,31,10,10,2,1,1,25,92.97,0
0,0,25,0,3035,60,0,20,3,1,1,30,123.8,0
6,0,33,0,4370,65,0,16,2,1,1,25,199.575,0
0,0,34,0,318,4,0,3,2,1,2,25,14.49,0
9,0,33,0,3775,76,24,27,2,1,1,25,281.295,0
11,0,32,1,9115,115,136,42,3,1,1,30,913.2,0
5,0,33,0,13773,163,0,43,3,1,1,30,557.44,0
5,0,33,0,4515,77,0,24,3,1,1,30,183.68,0
4,0,33,0,5918,89,0,11,2,1,1,25,270.315,0
7,1,33,0,2238,48,0,16,3,1,2,30,91.44,0
1,0,32,0,6500,80,178,25,3,1,1,30,975.2,0
0,0,32,0,875,8,0,10,2,1,2,25,39.735,0
0,0,33,0,710,8,5,7,2,1,2,25,54.81,0
0,0,32,0,0,0,0,0,2,1,2,25,0.0,1
5,0,32,0,11465,148,3,46,3,1,1,30,476.52,0
6,0,32,0,6718,69,100,36,2,1,1,25,755.415,0
21,1,28,0,955,41,8,16,2,1,2,25,80.82,1
11,0,31,0,5818,92,18,23,2,1,1,25,346.95,1
0,0,29,0,2840,16,0,13,3,1,1,30,114.24,0
7,1,30,0,2990,35,1,15,2,1,2,25,140.625,1
7,1,31,0,2268,38,26,30,3,1,2,30,196.24,1
0,1,31,0,0,0,0,0,2,1,2,25,0.0,1
0,0,31,0,1668,19,0,5,3,1,1,30,67.48,0
0,0,31,0,3718,76,0,27,2,1,1,25,170.73,0
1,0,30,0,1665,38,30,19,3,1,2,30,188.12,0
4,0,31,0,2780,47,167,22,2,1,1,25,878.715,0
2,0,22,0,1315,30,185,10,2,2,1,25,893.025,0
9,0,22,0,700,19,2,6,2,1,2,25,41.355,0
8,0,20,0,1225,26,11,12,2,1,1,25,105.795,0
0,0,20,0,3225,55,0,22,3,1,1,30,131.2,0
10,0,43,1,4370,77,13,18,3,1,1,30,229.88,0
2,0,44,0,318,11,15,5,3,1,2,30,73.16,0
5,0,43,1,2393,64,10,34,2,1,1,25,155.565,0
13,0,43,2,3775,88,40,29,3,1,1,30,314.52,0
9,0,43,1,13773,175,8,45,3,1,1,30,589.92,0
9,0,43,2,4515,89,10,26,3,1,1,30,224.16,0
8,0,43,1,5918,101,15,13,3,1,1,30,300.76,0
11,1,43,0,2238,60,16,18,3,1,2,30,155.92,0
5,0,42,2,6500,92,194,27,3,1,1,30,1039.68,0
2,0,42,0,875,20,8,12,2,1,2,25,76.275,0
4,0,43,0,710,20,21,9,3,1,2,30,113.2,0
0,0,42,0,0,0,8,0,2,1,2,25,36.0,1
10,0,42,2,6718,81,116,38,2,1,1,25,827.955,0
25,1,38,0,955,53,24,18,3,1,2,30,136.32,1
15,0,41,2,5818,104,34,25,3,1,1,30,372.88,0
3,0,39,1,2840,28,8,15,3,1,1,30,146.72,0
11,0,40,0,2990,47,17,17,3,1,2,30,189.48,1
2,0,41,0,133,8,8,3,3,1,2,30,37.64,1
4,0,41,1,3718,88,10,29,3,1,1,30,192.24,0
